Invoice No.,Item Name
20744,['Classic Frappe (350 ML)']
20746,"['Papparoti (Add On Nutella sauce)', 'South Indian Filter Kaapi (250 ML)']"
20747,"['Cappucino (250 ML)', 'Origanal South Indian Frappe (450 ML)', 'Cafe Mocha (350 ML)', 'Hot Chocolate (250 ML)', 'Berliners (Blueberry Cheese Cake Berliner)']"
20748,['Vietnamese (350 ML)']
20749,"['Cafe Latte (250 ML)', 'Add On Syrup (Add On hazelnuts Syrup)']"
20751,['Choco-crinkle-cookies (COMBO 3 PCS)']
20752,['Cappucino (250 ML)']
20753,"['Cappucino (250 ML)', 'Iced Latte (350 ML)', 'ALMOND MILK (150 ML)', 'Add On Syrup (Add On Vanilla Syrup)']"
20754,['Americano (250 ML)']
20755,['Calzones Veg (Calzone Paneer)']
20756,"['South Indian Filter Kaapi (250 ML)', 'Iced Mocha (350 ML)']"
20757,['South Indian Filter Kaapi (150 ML)']
20759,['Americano (250 ML)']
20760,"['Cappucino (250 ML)', 'Papparoti (Plain)']"
20761,['Iced Americano (450 ML)']
20762,"['Kaapicino (250 ML)', 'Papparoti (Plain)']"
20763,['Hot Chocolate (250 ML)']
20764,['Classic Frappe (350 Ml)']
20765,['Cappucino (250 ML)']
20766,"['Almond Honey Latte (250 ML)', 'Berliners (Nutella Berliner)', 'South Indian Filter Kaapi (150 ML)']"
20767,['Origanal South Indian Frappe (450 ML)']
20768,['Iced Americano (350 ML)']
20769,"['Iced Latte (350 ML)', 'Origanal South Indian Frappe (450 ML)']"
20770,['Hazelnut Frappe (350 ML)']
20772,"['Vietnamese (350 ML)', 'Vanilla Praline (350 ML)', 'Sea Salt Dark Mocha (250 ML)', 'Calzone Mix 3 Pc (Calzone Paneer)']"
20773,"['Mix Berliner 2 Pcs (Nutella Berliner)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Madagascar Chocochip Frappe (350 ML)', 'Calzones Veg (Calzone Veg)']"
20774,['South Indian Filter Kaapi (150 ML)']
20775,"['Cappucino (250 ML)', 'South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20776,"['Origanal South Indian Frappe (350 ML)', 'Vietnamese (350 ML)']"
20777,"['Kaapicino (350 ML)', 'Vietnamese (350 ML)', 'Calzones Veg (Calzone Paneer)', 'Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Berliner Mix 3 Pcs (Dark Choco Mousse Berliner)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)', 'Berliners (Dark Choco Mousse Berliner)']"
20778,"['Cafe Latte (250 ML)', 'Add On Syrup (Add On Vanilla Syrup)']"
20779,"['Iced Americano (350 ML)', 'Cafe Mocha (250 ML)', 'Iced Mocha (350 ML)', 'OAT MILK (200 ML)']"
20780,"['Tartlets (chocolate Tartlet)', 'Tartlets (Filter Kaapi Tartlet)']"
20781,"['Almond Honey Latte (250 ML)', 'Kaapicino (250 ML)', 'Papparoti (Plain)']"
20782,"['Cappucino (250 ML)', 'OAT MILK (200 ML)', 'Sea Salt Dark Mocha (250 ML)']"
20783,['South Indian Filter Kaapi (150 ML)']
20786,['Kaapicino (250 ML)']
20787,['Kaapicino (250 ML)']
20788,"['Papparoti (Plain)', 'Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS)', 'Calzones Veg (Calzone Veg)']"
20789,['Cappucino (250 ML)']
20790,['Kaapicino (250 ML)']
20791,"['Origanal South Indian Frappe (350 ML)', 'Almond Frappe (350 ML)', 'Americano (250 ML)']"
20792,"['Vietnamese (350 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Berliner Mix 3 Pcs (Lotus Biscoff Berliner)']"
20793,"['Classic Frappe (350 ML)', 'Hot Chocolate (250 ML)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)', 'Mix Berliner 2 Pcs (Dark Choco Mousse Berliner)', 'Sea Salt Dark Mocha Frappe (350 ML)', 'OAT MILK (200 ML)']"
20794,['Hazelnut Frappe (450 Ml)']
20795,"['South Indian Filter Kaapi (250 ML)', 'Americano (350 ML)', 'Irish Americano (250 ML)']"
20796,['Hot Chocolate (250 ML)']
20797,['Cappucino (250 ML)']
20798,['Cappucino (250 ML)']
20799,"['Caramel Frappe (350 ML)', 'Iced Americano (350 ML)']"
20800,"['Hazelnut Frappe (350 ML)', 'Vanilla Praline (350 ML)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Iced Americano (350 ML)']"
20801,"['Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Classic Frappe (350 ML)', 'Nariyal Irish Cream Frappe (350 ML)']"
20802,"['Berliners (Nutella Berliner)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20803,['Classic Frappe (350 ML)']
20804,['South Indian Filter Kaapi (150 ML)']
20805,"['Iced Americano (350 ML)', 'Add On Syrup (Add On Vanilla Syrup)', 'Origanal South Indian Frappe (350 ML)']"
20806,['South Indian Filter Kaapi (250 ML)']
20807,['Iced Americano (350 ML)']
20808,"['Iced Americano (350 ML)', 'Madagascar Chocochip Frappe (450 ML)']"
20809,"['Madagascar Chocochip Frappe (350 ML)', 'Cappucino (250 ML)']"
20810,"['South Indian Filter Kaapi (150 ML)', 'Papparoti (Add On Nutella sauce)']"
20812,"['Almond Frappe (450 Ml)', 'Madagascar Hot Chocolate (350 Ml)']"
20813,['Classic Frappe (450 ML)']
20814,"['Almond Frappe (350 ML)', 'Kaapicino (250 ML)']"
20815,['Papparoti (Plain)']
20816,['Choco-crinkle-cookies (COMBO 6 PCS)']
20817,['Madagascar Chocochip Frappe (450 ML)']
20818,"['Cappucino (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'Cappucino (250 ML)', 'Vanilla Praline (350 ML)']"
20819,"['Cappucino (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20820,"['Classic Frappe (350 ML)', 'Iced Latte (350 ML)']"
20822,['Cafe Mocha (350 Ml)']
20823,"['Madagascar Hot Chocolate (250 ML)', 'Cafe Mocha (250 ML)', 'Bon Bon (350 ML)']"
20824,"['Americano (350 ML)', 'Americano (250 ML)']"
20825,"['Hot Chocolate (350 ML)', 'Vietnamese (350 ML)', 'ALMOND MILK (200 ML)']"
20826,"['Bon Bon (450 ML)', 'Madagascar Chocochip Frappe (450 ML)']"
20827,"['Classic Frappe (350 ML)', 'Iced Mocha (350 ML)']"
20828,"['Vietnamese (350 ML)', 'ALMOND MILK (200 ML)']"
20829,['Bon Bon (350 ML)']
20831,"['Papparoti (Add On Nutella sauce)', 'Hot Chocolate (250 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Calzones Veg (Calzone Veg)', 'South Indian Filter Kaapi (250 ML)', 'South Indian Filter Kaapi (150 ML)']"
20832,['Vietnamese (450 ML)']
20833,"['Hazelnut Frappe (450 ML)', 'Calzones Veg (Calzone Veg)']"
20834,"['Cafe Latte (250 ML)', 'Hot Chocolate (250 ML)']"
20835,['Papparoti (Add On Nutella sauce)']
20836,['Bon Bon (350 ML)']
20837,"['South Indian Filter Kaapi (250 ML)', 'Kaapicino (250 ML)', 'Vanilla Praline (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'ALMOND MILK (200 ML)', 'Papparoti (Plain)']"
20838,"['Papparoti (Add On Nutella sauce)', 'Calzones Veg (Calzone Paneer)', 'Calzones Veg (Calzone Veg)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)']"
20839,"['Caramel Frappe (350 ML)', 'Vietnamese (350 ML)']"
20840,"['Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Berliner Mix 3 Pcs (Nutella Berliner)', 'Berliner Mix 3 Pcs (Dark Choco Mousse Berliner)']"
20841,['Madagascar Chocochip Frappe (450 ML)']
20842,"['Berliners (Nutella Berliner)', 'Berliners (Nutella Berliner)']"
20843,"['Americano (250 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Cappucino (250 ML)']"
20844,"['Madagascar Chocochip Frappe (350 ML)', 'Americano (250 ML)', 'Calzones Veg (Calzone Veg)']"
20845,"['Hazelnut Frappe (350 ML)', 'Iced Latte (350 ML)', 'Calzones Veg (Calzone Paneer)', 'Berliners (Dark Choco Mousse Berliner)']"
20846,"['Origanal South Indian Frappe (350 ML)', 'Tartlets (Kacha Nimbu Tartlet)']"
20847,['Cafe Mocha (250 ML)']
20848,['Cafe Mocha (250 ML)']
20849,['Berliners (Dark Choco Mousse Berliner)']
20850,['Kaapicino (250 ML)']
20852,['Sea Salt Dark Mocha Frappe (350 ML)']
20853,"['Iced Latte (450 ML)', 'Add On Syrup (Add On Vanilla Syrup)', 'Cappucino (250 ML)']"
20854,['Origanal South Indian Frappe (450 ML)']
20855,['Calzones Veg (Calzone Paneer)']
20856,['Hot Chocolate (250 Ml)']
20857,"['Madagascar Chocochip Frappe (350 ML)', 'Caramel Frappe (350 ML)', 'Origanal South Indian Frappe (450 ML)']"
20858,['Tartlets (chocolate Tartlet)']
20859,['Iced Americano (350 ML)']
20860,['Cappucino (250 ML)']
20861,['Bon Bon (350 ML)']
20863,"['ESPRESSO (60 ML)', 'Americano (250 ML)']"
20864,"['ESPRESSO (60 ML)', 'Origanal South Indian Frappe (350 ML)']"
20865,['Americano (250 ML)']
20866,['Sea Salt Dark Mocha Frappe (350 ML)']
20867,"['Berliners (Dark Choco Mousse Berliner)', 'Calzones Veg (Calzone Veg)']"
20868,"['Almond Frappe (350 ML)', 'Cappucino (250 ML)']"
20869,['Origanal South Indian Frappe (450 ML)']
20870,"['Iced Americano (350 ML)', 'Origanal South Indian Frappe (350 ML)']"
20871,"['Vanilla Praline (350 ML)', 'Calzones Veg (Calzone Veg)', 'Calzones Veg (Calzone Veg)']"
20872,"['Tartlets (chocolate Tartlet)', 'Tartlets (Salted Caramel Tartlet)', 'Tartlets (Filter Kaapi Tartlet)', 'Origanal South Indian Frappe (350 ML)', 'Hot Chocolate (250 ML)', 'South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)', 'Origanal South Indian Frappe (350 ML)']"
20873,"['Papparoti (Add On Nutella sauce)', 'Cafe Mocha (250 ML)', 'Vietnamese (350 ML)', 'Calzones Veg (Calzone Paneer)', 'Calzones Veg (Calzone Veg)']"
20875,['Vietnamese (350 ML)']
20876,"['Tartlets (Kacha Nimbu Tartlet)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20877,['Vietnamese (350 ML)']
20878,"['Classic Frappe (350 ML)', 'Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)']"
20879,"['Cappucino (250 ML)', 'South Indian Filter Kaapi (250 ML)', 'Calzones Veg (Calzone Paneer)']"
20880,"['Cappucino (250 ML)', 'Almond Honey Latte (250 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20881,['South Indian Filter Kaapi (250 Ml)']
20883,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Hazelnut Frappe (350 ML)']"
20884,"['Iced Americano (350 ML)', 'Caramel Frappe (350 ML)']"
20885,"['Almond Frappe (350 ML)', 'Hazelnut Frappe (350 ML)', 'Origanal South Indian Frappe (450 ML)', 'Berliners (Nutella Berliner)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20886,"['Nariyal Irish Cream Frappe (350 ML)', 'Vietnamese (350 ML)']"
20888,"['Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)']"
20889,"['Irish Americano (350 ML)', 'Classic Frappe (350 ML)']"
20890,['Choco-crinkle-cookies (COMBO 3 PCS)']
20891,"['Iced Latte (350 ML)', 'Vietnamese (350 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20893,"['Iced Americano (350 ML)', 'Iced Mocha (350 ML)', 'Berliners (Dark Choco Mousse Berliner)']"
20894,"['Berliners (Lotus Biscoff Berliner)', 'Berliners (Dark Choco Mousse Berliner)']"
20895,['Almond Frappe (350 ML)']
20896,"['South Indian Filter Kaapi (150 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Cafe Latte (250 ML)']"
20897,"['ESPRESSO (30 ML)', 'South Indian Filter Kaapi (150 ML)']"
20898,"['Cappucino (250 ML)', 'Iced Latte (350 ML)']"
20899,"['Sea Salt Dark Mocha Frappe (350 ML)', 'Nariyal Irish Cream Frappe (350 ML)', 'Papparoti (Add On Nutella sauce)', 'Cafe Latte (250 ML)']"
20900,"['Vietnamese (350 ML)', 'Vanilla Praline (350 ML)']"
20901,['Iced Mocha (350 ML)']
20902,['Berliners (Lotus Biscoff Berliner)']
20903,['South Indian Filter Kaapi (250 ML)']
20904,"['Hazelnut Frappe (350 ML)', 'Madagascar Chocochip Frappe (350 ML)']"
20905,['Americano (250 ML)']
20906,"['Vanilla Praline (350 ML)', 'Cappucino (250 ML)', 'OAT MILK (200 ML)']"
20908,['Americano (250 ML)']
20909,['Origanal South Indian Frappe (350 ML)']
20911,['Origanal South Indian Frappe (350 ML)']
20912,"['Kaapicino (250 ML)', 'Almond Honey Latte (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Papparoti (Plain)']"
20913,['Nariyal Irish Cream Frappe (350 ML)']
20914,['Origanal South Indian Frappe (350 ML)']
20916,['Classic Frappe (350 Ml)']
20917,['Madagascar Hot Chocolate (250 ML)']
20918,['Hot Chocolate (250 ML)']
20919,"['Nariyal Irish Cream Frappe (350 ML)', 'Sea Salt Dark Mocha (250 ML)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Papparoti (Plain)', 'South Indian Filter Kaapi (150 ML)']"
20920,['South Indian Filter Kaapi (250 ML)']
20921,['South Indian Filter Kaapi (150 ML)']
20922,"['Tartlets (chocolate Tartlet)', 'Hot Chocolate (250 Ml)']"
20923,['Origanal South Indian Frappe (350 ML)']
20924,"['Classic Frappe (350 ML)', 'South Indian Filter Kaapi (250 ML)']"
20925,['Hot Chocolate (250 ML)']
20926,['Cappucino (250 ML)']
20927,"['Kaapicino (250 ML)', 'Origanal South Indian Frappe (350 ML)']"
20928,"['Cafe Latte (250 ML)', 'Madagascar Hot Chocolate (250 ML)']"
20929,"['Cafe Latte (250 ML)', 'Almond Honey Latte (250 ML)', 'Add On Syrup (Add On Caramel Syrup)', 'Madagascar Chocochip Frappe (350 ML)', 'ALMOND MILK (200 ML)', 'Hazelnut Frappe (350 ML)']"
20930,"['Classic Frappe (350 ML)', 'OAT MILK (150 ML)', 'Berliners (Nutella Berliner)']"
20931,"['Madagascar Chocochip Frappe (350 ML)', 'Cappucino (250 ML)', 'Cafe Mocha (250 ML)', 'Iced Americano (350 ML)']"
20932,"['Origanal South Indian Frappe (450 ML)', 'Sea Salt Dark Mocha Frappe (350 ML)', 'Sea Salt Dark Mocha Frappe (450 ML)', 'Madagascar Hot Chocolate (350 ML)', 'Madagascar Chocochip Frappe (450 ML)']"
20933,"['Papparoti (Add On Nutella sauce)', 'Hot Chocolate (250 ML)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)']"
20934,['Hot Chocolate (250 ML)']
20935,"['Hazelnut Frappe (350 ML)', 'South Indian Filter Kaapi (150 ML)']"
20936,"['Sea Salt Dark Mocha Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'Madagascar Hot Chocolate (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS)']"
20937,"['Madagascar Chocochip Frappe (350 ML)', 'ALMOND MILK (200 ML)']"
20938,"['South Indian Filter Kaapi (150 ML)', 'Hot Chocolate (350 ML)']"
20940,"['Berliners (Dark Choco Mousse Berliner)', 'Hot Chocolate (250 ML)', 'Vietnamese (350 ML)']"
20941,"['Hazelnut Frappe (350 ML)', 'Vietnamese (350 ML)']"
20942,['Iced Latte (350 Ml)']
20943,['Hot Chocolate (250 Ml)']
20944,"['Cappucino (250 ML)', 'Hot Chocolate (250 ML)', 'Madagascar Chocochip Frappe (350 ML)']"
20945,"['Madagascar Chocochip Frappe (350 ML)', 'Iced Americano (350 ML)']"
20946,"['Papparoti (Add On Nutella sauce)', 'Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Tartlets (kodai cheese tartlet)', 'Cappucino (350 ML)']"
20947,['South Indian Filter Kaapi (250 ML)']
20948,"['Origanal South Indian Frappe (350 ML)', 'ALMOND MILK (200 ML)']"
20950,"['Vietnamese (350 ML)', 'Tartlets (Salted Caramel Tartlet)']"
20951,"['Cafe Latte (250 ML)', 'Add On Syrup (Add On hazelnuts Syrup)']"
20952,['Choco-crinkle-cookies (COMBO 3 PCS)']
20953,['Vietnamese (450 ML)']
20954,['Cappucino (350 ML)']
20955,['Cappucino (350 ML)']
20956,"['South Indian Filter Kaapi (250 ML)', 'Cafe Mocha (250 ML)', 'Papparoti (Plain)']"
20957,['Americano (350 Ml)']
20958,"['Almond Honey Latte (250 ML)', 'Papparoti (Add On Nutella sauce)']"
20959,['Iced Americano (350 ML)']
20960,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20961,['Kaapicino (250 ML)']
20962,['Iced Americano (450 ML)']
20963,"['South Indian Filter Kaapi (250 ML)', 'South Indian Filter Kaapi (150 ML)']"
20964,['Iced Americano (450 ML)']
20965,"['Cappucino (250 ML)', 'Americano (250 ML)']"
20966,"['Kaapicino (250 ML)', 'South Indian Filter Kaapi (150 ML)']"
20967,['Hot Chocolate (250 ML)']
20968,['Origanal South Indian Frappe (450 ML)']
20970,['Iced Americano (350 ML)']
20971,"['Nariyal Irish Cream Frappe (350 ML)', 'Americano (250 ML)']"
20972,['Almond Frappe (350 ML)']
20974,['Calzones Veg (Calzone Veg)']
20975,['South Indian Filter Kaapi (250 ML)']
20977,"['Iced Americano (350 ML)', 'Vietnamese (350 ML)']"
20978,['Madagascar Chocochip Frappe (450 ML)']
20979,['Espresso Tonic (Tonic Water)']
20980,['South Indian Filter Kaapi (150 ML)']
20981,"['Origanal South Indian Frappe (350 ML)', 'OAT MILK (200 ML)']"
20982,"['Almond Honey Latte (250 ML)', 'Berliners (Blueberry Cheese Cake Berliner)']"
20983,['Classic Frappe (450 ML)']
20984,['South Indian Filter Kaapi (150 ML)']
20985,"['South Indian Filter Kaapi (150 ML)', 'Cafe Latte (250 ML)']"
20986,['Espresso Tonic (Tonic Water)']
20987,"['Iced Latte (350 ML)', 'Origanal South Indian Frappe (350 ML)']"
20988,"['Bon Bon (350 ML)', 'Vietnamese (350 ML)']"
20989,"['Hazelnut Frappe (350 ML)', 'Iced Americano (350 ML)']"
20990,['South Indian Filter Kaapi (150 ML)']
20991,"['Cappucino (250 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20992,"['Madagascar Hot Chocolate (250 ML)', 'Hazelnut Frappe (350 ML)']"
20993,"['Iced Americano (350 ML)', 'Add On Syrup (Add On Irish Syrup)', 'Kaapicino (250 ML)']"
20994,"['Papparoti (Plain)', 'Nariyal Irish Cream Frappe (450 ML)']"
20995,"['Mix Tartlet 3 Pcs (salted Caramel tartlet)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Sea Salt Dark Mocha (250 ML)', 'Bon Bon (350 ML)', 'Almond Honey Latte (250 ML)', 'Hazelnut Frappe (350 ML)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'Mix Tartlet 3 Pcs (kodai cheese tartlet)']"
20996,"['Madagascar Chocochip Frappe (350 ML)', 'Caramel Frappe (350 ML)']"
20997,['Madagascar Chocochip Frappe (350 ML)']
20998,"['Origanal South Indian Frappe (350 ML)', 'South Indian Filter Kaapi (250 ML)']"
21000,"['Cafe Latte (250 ML)', 'Sea Salt Dark Mocha (250 ML)', 'ALMOND MILK (200 ML)']"
21001,"['Cappucino (350 ML)', 'Almond Frappe (350 ML)', 'Madagascar Hot Chocolate (250 ML)', 'Berliners (Dark Choco Mousse Berliner)']"
21002,"['Iced Americano (350 ML)', 'Cafe Latte (250 ML)']"
21003,"['Classic Frappe (350 ML)', 'Berliners (Nutella Berliner)']"
21005,"['South Indian Filter Kaapi (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (450 ML)', 'Origanal South Indian Frappe (350 ML)']"
21006,"['Iced Americano (350 ML)', 'Add On Syrup (Add On Tiramisu Syrup)']"
C2278,['South Indian Filter Kaapi (150 ML)']
C2279,"['Americano (250 ML)', 'South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)']"
C2280,"['Tartlets (Kacha Nimbu Tartlet)', 'Kaapicino (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2282,"['South Indian Filter Kaapi (150 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2283,['Origanal South Indian Frappe (350 ML)']
C2284,"['Cappucino (250 ML)', 'Cafe Latte (250 ML)']"
C2285,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
C2286,"['Vietnamese (350 ML)', 'Irish Americano (250 ML)']"
C2287,['Origanal South Indian Frappe (350 ML)']
C2288,['Vietnamese (350 ML)']
C2289,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
C2290,"['Cappucino (250 ML)', 'Add On Syrup (Add On hazelnuts Syrup)', 'Papparoti (Plain)']"
C2291,['Hazelnut Frappe (350 ML)']
C2292,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
C2293,['Papparoti (Plain)']
C2295,['South Indian Filter Kaapi (150 ML)']
C2297,['Calzones Veg (Calzone Paneer)']
C2298,['Choco-crinkle-cookies (COMBO 6 PCS)']
C2299,"['Origanal South Indian Frappe (350 ML)', 'Iced Americano (350 ML)', 'Add On Syrup (Add On Irish Syrup)']"
C2300,"['Kaapicino (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2301,['Berliners (Nutella Berliner)']
C2302,['Papparoti (Add On Nutella sauce)']
C2303,['South Indian Filter Kaapi (150 ML)']
C2304,['Vietnamese (350 ML)']
C2305,['South Indian Filter Kaapi (150 ML)']
C2306,['Iced Americano (350 ML)']
C2307,['Papparoti (Add On Nutella sauce)']
C2308,['Madagascar Hot Chocolate (250 ML)']
C2309,"['Mix Berliner 2 Pcs (Nutella Berliner)', 'Mix Berliner 2 Pcs (Dark Choco Mousse Berliner)']"
C2310,['South Indian Filter Kaapi (150 ML)']
C2312,['Origanal South Indian Frappe (350 ML)']
C2313,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2314,"['South Indian Filter Kaapi (150 ML)', 'Americano (250 ML)']"
C2315,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
